jugador,Sergio,Sergio,Juan,Juan
param,tiempo,carambolas,tiempo,carambolas
1,20.95,0,23.46,0
2,24.91,0,27.68,0
3,38.38,1,16.95,0
4,38.83,1,29.43,0
5,20.83,0,33.60,0
6,37.86,0,53.18,1
7,26.28,0,26.35,0
8,26.60,0,29.48,0
9,37.80,1,42.40,0
10,23.56,0,17.85,0
11,28.93,0,29.03,0
12,22.66,0,61.25,1
13,77.25,3,54.43,1
14,26.73,0,112.95,2
15,30.50,0,144.35,2
16,27.93,0,40.93,1
17,44.95,0,18.18,0
18,48.30,1,25.81,0
19,25.88,0,134.16,2
20,45.50,1,32.66,0
21,36.95,0,36.81,0
22,27.86,0,49.46,1
23,29.68,0,52.03,1
24,23.46,0,21.82,0
25,25.01,0,25.13,0
26,43.30,1,33.05,0
27,62.30,1,67.25,2
28,29.26,0,45.28,1
29,19.93,0,44.06,0
30,22.36,0,20.27,0
31,25.55,0,68.05,1
32,46.09,1,22.49,0
33,36.85,1,70.03,1
34,28.85,0,19.03,0
35,24.16,0,41.15,0
36,16.88,0,50.93,1
37,24.23,0,34.91,0
38,25.60,0,21.16,0
39,23.14,0,55.32,1
40,23.59,0,79.96,1
41,38.30,0,20.19,0
42,47.06,0,18.91,0
43,28.48,0,41.80,0
44,22.78,0,22.00,0
45,16.78,0,24.03,0
46,25.89,0,35.63,0
47,35.76,0,57.03,1
48,19.48,0,54.65,1
49,28.26,0,23.43,0
50,23.98,0,21.65,0
51,26.35,0,43.43,0
52,18.62,0,22.93,0
53,52.02,1,24.58,0
54,17.99,1,70.88,1
55,24.53,0,24.95,0
56,18.89,0,63.05,1
57,27.88,0,22.80,0
58,37.63,0,26.98,0
59,19.97,0,113.60,4
60,42.08,1,19.69,0
